tweet;clean_tweet;Label
@gv1291 @___least @theflankerID Ya udah tau dembele ga jalan sampe semifinal masih di mainin aja, udahlah akuin aja dembele jelek di pildun ini, gua ga ngejek, cuma ya emang kenyataan jelek, dan gak perform di laga2 besar, di barca aja ga perform waktu lawan tim2 besar macem madrid n munchen;sudah tahu dembele tidak jalan sampai semifinal mainin saja udahlah akuin saja dembele jelek pildun tidak ngejek cuma emang nyata jelek tidak perform laga2 besar barca saja tidak perform waktu lawan tim2 besar macam madrid munchen;-1
@catwsmase @neymarj36673801 @idextratime Kalau acuan pemain hebat cuman soal trophy, sekelas mustafi aja pernah dapet pildun. Emang mustafi bagus?;kalau acu main hebat cuman soal trophy kelas mustafi saja pernah dapat pildun emang mustafi bagus;-1
Please, baru tidur 2 menit lalu eh kebangun gegara suara Jk nyanyi  lagu pildun 😭😭;please baru tidur menit lalu eh bangun karena suara jk nyanyi lagu pildun;0
Hwang Hee Chan jdi tambah bagus abis dri pildun;hwang hee chan jadi tambah bagus habis dari pildun;1
@qorygore ikut temen nobar pildun di cafe padahal ga ngerti bola, alhasil main ml sendiri mojok di belakang sampe kelar karena gabisa keluar kejebak penonton;ikut teman nonton bareng pildun cafe padahal tidak erti bola alhasil main ml sendiri mojok belakang sampai kelar tidak bisa keluar jebak tonton;0
Kalau bapak maseh ade, pasti seru bahas Messi dg Maradona. Udah ndak bise di counter agi, udah dapat gelar pildun.  Miss you so bad, pak. ❤;kalau bapak maseh ade seru bahas messi dengan maradona sudah tidak bise counter agi sudah dapat gelar pildun miss you so bad pak;1
@idextratime Lumayan pengalaman lawan club epl + isinya pemain pildun, gk main jelek juga udh bagus itu susah juga klau se tim isinya 90% bapuk;lumayan alam lawan club epl isi main pildun tidak main jelek sudah bagus susah klau se tim isi 90 bapuk;1
@IRahmannuddin_ @idextratime Tp pwrasaan kmrn pas pildun rame bgt cok waokwkwk;tapi pwrasaan kemarin pa pildun ramai banget cok;1
@garistengah_id Jesper Blomqvist ngga masuk flop kayaknya yah? Dia dibeli tahun 1998 cuma buat cadangannya Giggs. Dan saat main pun masih bisa perform bagus. Sayang pasca final champion 1999, dia cidera dan 2 tahun ga main. Akhirnya dilego. Dia bukan krn abis Pildun sih. Udah diincer sejak 1996.;jesper blomqvist tidak masuk flop kayak yah beli tahun 1998 cuma buat cadang giggs main bisa perform bagus sayang pasca final champion 1999 cidera tahun tidak main akhir lego bukan karena habis pildun sudah diincer sejak 1996;-1
@dejugabisa @MiskinTV_ Caranya gmn bang sehari sblm final pildun akun gw jg kena pdhl nggk ngapa2in;cara bagaimana bang hari belum final pildun akun juga kena pdhl tidak ngapa-ngapain;0
@terabhitiya @hahakiiim @alvdon_zz @The_RedsIndo Justru dimaria masih oke smpai mnit 70an org dia mmng disiapkn utk final kok, klo dybala yg mmng gk fit krna dimainkn dimenit akhr trs. Acuna aja di bek sayap crossing yg bagus hnya ketika uji coba sblm pildun slbhnya gk jelas dan cuma bisa brtahan.;justru maria oke sampai menit 70an orang memang disiapkn final kok kalau dybala memang tidak fit karena dimainkn menit akhr terus acuna saja bek sayap crossing bagus hanya uji coba belum pildun slbhnya tidak jelas cuma bisa brtahan;-1
@niarr131 @idextratime Abang baru pertama kali nonton bola pa gimana? Saling ngecengi itu hal biasa… liat pemenang2 pildun yang dulu kalau selebrasi gimana. Argentina kalah juga Prancis bakal ngelakuin hal yang sama. It’s football culture.;abang baru pertama kali nonton bola pa bagaimana saling ngeceng biasa lihat pemenang2 pildun dulu kalau selebrasi bagaimana argentina kalah prancis bakal ngelakuin sama it football culture;-1
@codename_andre @gabut_mang @ald_sandi @PorosHalangID aguero kan legend di argentina (ibarat)mantan prajurit meskipun gada kontribusi di pildun 2022. kita ngga tau aja dia dibelakang panggung gimana sama pemain;aguero legend argentina ibarat mantan prajurit meski tidak ada kontribusi pildun 2022 tidak tahu saja belakang panggung bagaimana sama main;1
alhamdulillah pildun kelar. akhirnya poser-poser bola ini kembali ke tempat nya masing-masing 😌;alhamdulillah pildun kelar akhir poser poser bola tempat nya masing masing;-1
@newshunter25 Kehilangan taring tapi 2018 dapat pildun, 2022 masuk final, kalah di pinalti lagi. Yang beban mah benzema aja di prancis;hilang taring tapi 2018 dapat pildun 2022 masuk final kalah pinalti beban mah benzema saja prancis;-1
masih senyum sndiri klo nemu editan messi mnang pildun anying;senyum sendiri kalau nemu edit messi mnang pildun anying;0
@The_RedsIndo Iwan copeng kira2 klw Timnas juara pildun bs mewek gini jg ga ?;iwan copeng kira2 kalau timnas juara pildun bisa mewek gin juga tidak;0
terakhir liat senyum dan denger suara tawanya waktu live habis perform opening fifa sampe sekarang pildun nya udah selesai anak nya masi belum nampakin diri di sosmed:) waktu nganter seokjin ga liat wajah sama denger suara dia, and i know you're not okay koo:(;akhir lihat senyum denger suara tawa waktu live habis perform opening fifa sampai sekarang pildun nya sudah selesai anak nya ma belum nampakin diri sosmed waktu nganter seokjin tidak lihat wajah sama denger suara and know you reply not okay koo;0
kgn final pildun;kgn final pildun;1
Grgr pildun kemaren, mendadak jd punya idola bola. Suka sama Kylian karena maennya bagus, trs suka sama Dybala karena ganteng 😭 ganteng dan ada tengil2nya gitu 😭;gara-gara pildun kemarin dadak jadi punya idola bola suka sama kylian maennya bagus terus suka sama dybala ganteng ganteng ada tengil2nya gitu;1
Wkwkwkwk ini pas nonton pildun. Cuma facta dan yaafi yg milih argentina, yg lain pada milih perancis wkwkwkwkwkwkwk  https://t.co/W1OCEiOr0k;pa nonton pildun cuma facta yaafi milih argentina milih perancis;0
Gabisa turuuu, Jam segini tuh memang rawan overthinking aslii.   Gara2 pildun habis jadi bingung mau ngapain(?)  https://t.co/7UQgzsuRD5;tidak bisa turuuu jam gin memang rawan overthinking asli gara2 pildun habis jadi bingung mau sedang apa;0
"@natsushida @dashevas @deIvarette &amp;. Hoalah pantes, habis kerja rodi kah. Iya anjir gua gegara pildun jadi kebiasaan jam segini kebangun. Tapi ini mau tidur lagi.";pantes habis kerja rodi iya anjing karena pildun jadi biasa jam gin bangun tapi mau tidur;0
@rakha_synrev @SeputarMadrid jamal bukannya pas di pildun bisa di bilang gendong timnas ya?;jamal bukan pa pildun bisa bilang gendong timnas;0
sumpah seru bet ketika fans2 nya ronaldo lagi belain2 ronaldo terus fans messi cuma kasih pics messi angkat pildun ajg, kek ke savage aja gitu🤣;sumpah seru banget fans2 nya ronaldo belain2 ronaldo terus fan messi cuma kasih pic messi angkat pildun ajg seperti savage saja gitu;0
gara gara pildun jam tidur ga keurus asuu;gara gara pildun jam tidur tidak urus asuu;-1
@idextratime Gabisa nonton asw,ga kek pildun;tidak bisa nonton asw tidak seperti pildun;0
hari hari pildun ngedumel lautaro  https://t.co/2segcdoQLQ;hari hari pildun ngedumel lautaro;0
@convomfs Suami aku dong, kerja sambil nonton final pildun+dirumah juga❤️❤️;suami dong kerja nonton final pildun rumah;1
stuju sih sama farhan. efek messi menang pildun kebawa senengnya bisa sampe 5 bulan keknya🤩🥰;stuju sama farhan efek messi menang pildun bawa neng bisa sampai bulan kayak;1
@alfando_sr @fauzanfeb @TeamCRonaldo Susah juga sih bro, banyak pemain emang bagusnya pas di timnas, di club malah kadang biasa aja. Entah motivasi yang berbeda saat membela negara/klub. Dan emang kan banyak kasus pemain bagus banget pas di pildun/copa/euro tapi pas main di klub malah flop;susah saudara laki banyak main emang bagus pa timnas club bahkan kadang biasa saja entah motivasi beda bela negara klub emang banyak kasus main bagus banget pa pildun copa euro tapi pa main klub bahkan flop;0
"Kalo penilaian GOAT cuma diliat dari bisa menang pildun (yg apalagi fix dibantu wasit &amp; VAR) payah bro. Orang yg bermain jauh diluar zona nyaman &amp; terbukti memenangkan lebih banyak trofi lebih layak di sebut GOAT, meskipun jujur aku bukan fans sejati CR7. He deserve than messi.";kalau nilai goat cuma liat bisa menang pildun fix bantu wasit var payah saudara laki orang main jauh luar zona nyaman bukti menang lebih banyak trofi lebih layak sebut goat meski jujur bukan fan sejati ronaldo he deserve than messi;-1
@idextratime Ada satu hal orang orang lupa, matahin kutukan juara dunia gak lolos fase grup, dan prancis sampai ke final loh, jangan ntar di pildun selanjutnya argentina gak lolos fase grup seperti jerman dan spanyol.;ada satu orang orang lupa matahin kutu juara dunia tidak lolo fase grup prancis final loh jangan nanti pildun lanjut argentina tidak lolo fase grup jerman spanyol;1
"Kalo penilaian GOAT cuma diliat dari bisa menang pildun (yg apalagi fix dibantu wasit &amp; VAR) payah sekali bro. Orang yg bermain jauh diluar zona nyaman &amp; terbukti memenangkan lebih banyak trofi yg lebih layak di sebut GOAT, meskipun jujur aku bukan fans sejati nya CR7.";kalau nilai goat cuma liat bisa menang pildun fix bantu wasit var payah sekali saudara laki orang main jauh luar zona nyaman bukti menang lebih banyak trofi lebih layak sebut goat meski jujur bukan fan sejati nya ronaldo;-1
@captainamandaa Nikahanku emang pembukane pildun;nikah emang pembukane pildun;0
@ribakonsudeee @abd_azzam_ @maada15 @idextratime TUL  Udah gitu giliran Prancis diving langsung dikasih kartu kuning Thuram, giliran ini di cek VAR aja kagak, coba cek VAR, sudah selayaknya Mbappe dkk 2x beruntun pildun. Mending dibakar aja itu sekalian ruangan VAR = SAMPAH MASYARAKAT!!!;tul sudah gitu gilir prancis diving langsung kasih kartu kuning thuram gilir cek var saja tidak coba cek var sudah layak mbappe dan kawan 2x untun pildun lebih baik bakar saja sekali ruang var sampah masyarakat;-1
Hasil pildun dah cair nih Ayok nato 🤭;hasil pildun deh cair ini ayo nato;0
@rismadwip @SiaranBolaLive kocakk🤣🤣 jadi patokan menang pildun tergantung main club apa gt ya🤭🤭;kocakk jadi patok menang pildun gantung main club apa begitu;0
@PorosHalangID Bangsa kolombia rakyat nya gak ada yang pernah megang pildun maka nya ngiri 🤣🤣🤣;bangsa kolombia rakyat nya tidak ada pernah pegang pildun nya iri;-1
Kondisi tugu pahlawan ketika indonesia juara pildun #misale 😫;kondisi tugu pahlawan indonesia juara pildun misale;0
@mrbintang2020 @idextratime 3 gol lah ya minimal tapi apa daya cuma sebiji gol yang dicetak bang do selama pildun  https://t.co/EqYmRKLTcM;gol minimal tapi apa daya cuma biji gol cetak bang do lama pildun;-1
sisaan pildun masih gabisa ilang, blum bisa tidur jam segini;sisa pildun tidak bisa hilang belum bisa tidur jam gin;-1
Finally safe to tweet at this hour karena gak ada orang soalnya pildun udah kelar;finally safe to tweet at this hour tidak ada orang soal pildun sudah kelar;0
agak susah sih ini reset pola tidur beres pildun;agak susah reset pola tidur beres pildun;0
Rehat setelah pildun. Wkwkwk🤣  https://t.co/ms4bJLCDiN;rehat pildun wkwkwk;0
Pe, Mbappe, wes talah ojok mbesengut ngono! Awakmu iki jek enom, 24 tahun. Bales pildun ngarep, Pe 🔥😈;pe mbappe wes talah ojok mbesengut ngono awak iki jek enom 24 tahun balas pildun ngarep pe;1
Pilpres sama pildun seruan mana yak ?;pilpres sama pildun seru mana ya;0
@realmadridindo1 Julid amat ini akun y, g di sini g di fb g di ig, kayanya panas amat Messi bs dpt pildun sdgkan dodo gbs, Messi 2x masuk final 2x liat lsg piala nya, 1x bs pegang cium angkat hore rame* tp dodo tdk prnh bs 😂🤣, dr segi gol dr segi prestasi pun Messi yg unggul 🤭;julid amat akun sini fb ig kayak panas amat messi bisa dapat pildun sdgkan ronaldo tidak bisa messi 2x masuk final 2x lihat lsg piala nya 1x bisa pegang cium angkat hore ramai tapi ronaldo tidak pernah bisa dari segi gol dari segi prestasi messi unggul;1
"@Askrlfess gw jg abis dibilang gini ama temen gegara bikin story pas final pildun kemaren ""lu ko tiba2 suka messi aja"", ya gw jawab lah ""lah anjir uda lama, emng perlu ya apa2 kalo gw suka trs di public"" anjir bgt pdhl dah dari jaman messi di barca, itu cowo btw";juga habis bilang gin sama teman karena bikin story pa final pildun kemarin kamu ko tiba suka messi saja jawab anjing sudah lama memang perlu apa2 kalau suka terus public anjing banget pdhl deh jaman messi barca cowo ngomong-ngomong;0
@semestasains mau balik ke awal pildun baru mulai, mau langsung taruhan 99999999999999999999999999999 triliun milih argentina terus;mau balik awal pildun baru mulai mau langsung taruh 99999999999999999999999999999 triliun milih argentina terus;0
Ini semua karna pildun! rusak jam tidur;semua karena pildun rusak jam tidur;-1
pemutus kutukan alias emg udah cocok jd lautaro yg pea di pildun kemarin  https://t.co/OKdBsmwtKp;putus kutu alias memang sudah cocok jadi lautaro pea pildun kemarin;-1
@mmamaww @onlyvvan @Forky_toystory0 @idextratime Sejak liga udah padat,dan pildun diundur gara gara covid jadi gak ada waktu lagi untuk mengadakan piala konfederasi;sejak liga sudah padat pildun undur gara gara covid jadi tidak ada waktu ada piala konfederasi;-1
Hasil dari pildun kemarin yaa perut buncit gara” konsumsi uang haram;hasil pildun kemarin yaa perut buncit gara konsumsi uang haram;-1
@kegblgnunfaedh sehari sebelum final tapi uda post tu megang pildun, ngadi² ni berita;hari final tapi sudah post itu pegang pildun ngadi2 ini berita;-1
@pxndv14th Lahhhh pildun kan syuda kelar;lahhhh pildun syuda kelar;0
@AriefSyuhada_ @AriJancuk_ @idextratime @jefrinichol Eusebio jangan lupa. Letingan nya Sir Bobby Charlton jaman Pildun 1966;eusebio jangan lupa leting nya sir bobby charlton jaman pildun 1966;0
Siap salah kak  hypenya pas pildun doang emang. Ntar aff juga hypenya pas aff doang  Siap salah kok🤩 Biar si paling suhu bola seneng ygy;siap salah kak hypenya pa pildun doang emang nanti aff hypenya pa aff doang siap salah kok biar si paling suhu bola neng ygy;-1
@convomf perdebatan kaka adik krn beda dukungan pildun 😭☝️  https://t.co/XpAs2hs2By;debat kakak adik karena beda dukung pildun;-1
@_eIpatron @intermilanstory @registaco apa yang mau diharapkan dari kaum 1908blok? 🤷‍♂  Iyain aja udah, soalnya pemain mereka beban semua di Pildun. Yang ini buat ngehibur diri aja, kesian.;apa mau harap kaum 1908blok iyain saja sudah soal main beban semua pildun buat ngehibur diri saja kasihan;-1
Kiper terbaik sepanjang pildun;kiper baik panjang pildun;1
@idextratime udah seneng menang taruhan pildun eh malah diingetin kekalahan klub kesayangan😭;sudah neng menang taruh pildun eh bahkan diingetin kalah klub sayang;-1
Tapi sedih juga, tahun ini ayah ga sesehat pildun sebelum-sebelumnya, tp senang juga udh jadi onty dengan 3 ponakan. Menurut gua ini mirip-mirip tahun 2010 ya ramenya, apalagi Messi, Ronaldo tahun terakhir main;tapi sedih tahun ayah tidak sehat pildun belum tapi senang sudah jadi onty ponakan mirip mirip tahun 2010 ramenya messi ronaldo tahun akhir main;-1
@SamFerkyFers10 @Lustinlife2 @YonoBakrie iya iya bang lu udah tua udah lihat prancis juara pildun dua kali saking terbiasanya prancis menang pildun selanjutnya pun paling lu mending tidur ga perlu nonton karna udah saking TERBIASA hmm;iya iya bang kamu sudah tua sudah lihat prancis juara pildun kali saking biasa prancis menang pildun lanjut paling kamu lebih baik tidur tidak perlu nonton karena sudah saking biasa hmm;-1
@danidanii55 @idextratime apakah momen setelah pildun 2002 terulang kembali?😂;momen pildun 2002 ulang;0
@alahsokap tetap mahal, karena kulit ayamnya di impor langsung dari prancis, karena kemarin baru ada pildun dan prancis kalah jadinya harga naik karena pemerintah kecewa;tetap mahal kulit ayam impor langsung prancis kemarin baru ada pildun prancis kalah jadi harga naik perintah kecewa;-1
Pildun tlah selesai, sekarang waktunya berpikir gmana caranya menghentikan dia ini. 🤣🤣🤣;pildun tlah selesai sekarang waktu pikir bagaimana cara henti;-1
@idextratime Pdhl rakyat Argentina dah doain mereka kalah loh, inflasi tinggi (72%) ketutup menang pildun;pdhl rakyat argentina deh doain kalah loh inflasi tinggi 72 tutup menang pildun;-1
kykny emg bliau lgi sibuk kuliah sampe ga ikutan nonton pildun kan kemaren? smngt kuliahnya papa ddongsik😔💖  https://t.co/xk025suYJa;kaya memang bliau lagi sibuk kuliah sampai tidak ikut nonton pildun kemarin smngt kuliah papa ddongsik;-1
Kalo yg nanyangin pildun kmrn rcti, bisa jadi ada neh gimmick kek gini. Pake Master Joe Sandy   https://t.co/CJy0twivwI;kalau nanyangin pildun kemarin rcti bisa jadi ada neh gimmick seperti gin pakai master joe sandy;-1
@garistengah_id Ronaldo Nazario de Lima. Diboyong Madrid dari Inter setelah moncer dengan 8 gol di Pildun 2002. Menjelma sbg roh Los Galacticos yg menjuarai la liga sama intercontinental;ronaldo nazario adik lima boyong madrid inter moncer gol pildun 2002 jelma sbg roh los galacticos juara lah liga sama intercontinental;1
@rrraaihan Mbappe gendong satu negara wkwk mainnya beringas bener, agak sakit liat ujung²ny kalah jg, lebih sakit lagi liat govt argentina lebih sibuk ngurusin pildun pdhl negaranya hampir hiperinflasi.;mbappe gendong satu negara main beringas benar agak sakit lihat ujung2ny kalah juga lebih sakit lihat govt argentina lebih sibuk ngurusin pildun pdhl negara hampir hiperinflasi;-1
"Ini final Pildun apa perlu semacam ""True Sight"" ya";final pildun apa perlu macam true sight;-1
